hex,lat,lon,n_focos,brillo_medio,brillo_max,frp_medio,frp_max,brillo_t31_medio,pct_noche,pct_verano,pct_conf_alta,n_anios_activo,mes_pico,elevacion,temp_media,precip_anual,viento_medio,humedad_relativa,cobertura_veg,dist_asentamiento_km,dist_ruta_km
85cfa26bfffffff,-49.689,-68.327,2.0,342.65,343.24,5.2,5.84,288.605,0.0,0.0,0.0,1.0,10.0,100.0,8.12,310.25,6.26,65.51,pastizal,38.902,2.457
85cfa2a7fffffff,-50.275,-69.267,1.0,333.54,333.54,2.86,2.86,298.1,0.0,1.0,0.0,1.0,2.0,360.0,7.08,324.85,6.73,69.99,matorral,41.073,6.505
85cfa323fffffff,-49.563,-70.395,1.0,328.37,328.37,16.1,16.1,284.93,0.0,0.0,0.0,1.0,8.0,134.0,6.74,273.75,6.5,65.52,suelo_desnudo,76.122,5.28
85cfa32bfffffff,-49.467,-70.234,7.0,337.274,347.24,7.623,24.06,305.027,0.0,0.429,0.0,2.0,2.0,192.0,6.74,273.75,6.5,65.52,pastizal,79.824,4.585
85cfa337fffffff,-49.659,-70.556,2.0,338.235,345.84,5.235,7.16,289.72,0.0,0.0,0.0,1.0,9.0,314.0,6.74,273.75,6.5,65.52,suelo_desnudo,64.607,16.26
85cfa34bfffffff,-49.582,-69.278,2.0,341.075,342.2,7.34,11.09,293.075,0.0,0.0,0.0,2.0,9.0,57.0,8.3,288.35,6.31,62.47,suelo_desnudo,51.131,9.21
85cfa353fffffff,-49.828,-69.394,1.0,326.64,326.64,0.16,0.16,281.83,0.0,0.0,0.0,1.0,5.0,70.0,8.3,288.35,6.31,62.47,suelo_desnudo,38.461,17.941
85cfa36bfffffff,-49.328,-69.716,6.0,330.74,335.76,5.573,14.99,285.195,0.0,0.0,0.0,4.0,8.0,130.0,7.72,266.45,6.33,63.27,pastizal,75.286,22.243
85cfa36ffffffff,-49.275,-69.915,28.0,340.049,367.0,8.882,54.66,292.125,0.0,0.25,0.107,6.0,3.0,227.0,7.72,266.45,6.33,63.27,pastizal,63.388,27.541
85cfa37bfffffff,-49.478,-69.676,1.0,333.35,333.35,2.69,2.69,297.55,0.0,0.0,0.0,1.0,9.0,120.0,7.72,266.45,6.33,63.27,suelo_desnudo,78.278,7.13
85cfa3a3fffffff,-49.96,-70.479,1.0,342.08,342.08,2.22,2.22,301.34,0.0,1.0,0.0,1.0,1.0,564.0,5.72,288.35,6.47,68.8,pastizal,80.419,49.423
85cfa3b3fffffff,-50.11,-70.44,1.0,331.3,331.3,2.91,2.91,299.34,0.0,0.0,0.0,1.0,9.0,369.0,5.72,288.35,6.47,68.8,pastizal,92.065,66.123
85cfa3cffffffff,-49.926,-69.553,4.0,335.29,339.48,8.545,13.95,275.392,0.0,0.0,0.0,1.0,7.0,219.0,7.26,313.9,6.23,66.29,pastizal,46.209,33.302
85cfa403fffffff,-51.912,-69.366,7.0,301.517,305.87,0.994,1.33,272.817,1.0,0.571,0.0,3.0,2.0,130.0,6.25,434.35,6.7,77.92,pastizal,32.452,5.746
