hex,lat,lon,n_focos,riesgo_alto,proba_oof,elevacion,temp_media,precip_anual,viento_medio,humedad_relativa,dist_asentamiento_km,dist_ruta_km,cobertura_veg
85cea3dbfffffff,-42.82,-71.115,6.0,0,0.101793975,843.0,5.98,843.15,3.4,78.38,19.761,0.087,pastizal
85cea40bfffffff,-44.485,-71.079,3.0,0,0.14066948,1050.0,4.66,883.3,6.35,83.43,40.919,50.648,pastizal
85cea40ffffffff,-44.425,-71.26,2.0,0,0.1262235,1099.0,4.66,883.3,6.35,83.43,28.517,59.069,pastizal
85cea41bfffffff,-44.635,-71.046,2.0,0,0.04035021,858.0,4.66,883.3,6.35,83.43,48.503,51.426,pastizal
85cea423fffffff,-44.304,-71.622,551.0,1,0.48941225,730.0,4.03,1120.55,3.66,87.88,24.567,70.098,bosque
85cea427fffffff,-44.243,-71.803,600.0,1,0.13800822,513.0,4.03,1120.55,3.66,87.88,35.491,79.617,bosque
85cea42bfffffff,-44.215,-71.473,115.0,0,0.8066847,598.0,4.03,1120.55,3.66,87.88,9.326,54.782,bosque
85cea42ffffffff,-44.154,-71.654,355.0,1,0.7239527,702.0,4.03,1120.55,3.66,87.88,23.077,64.908,pastizal
85cea433fffffff,-44.454,-71.59,71.0,0,0.53011435,867.0,4.03,1120.55,3.66,87.88,35.248,78.592,pastizal
85cea43bfffffff,-44.365,-71.441,91.0,0,0.5099196,946.0,4.03,1120.55,3.66,87.88,21.352,63.2,pastizal
85cea443fffffff,-44.455,-70.752,1.0,0,0.031100204,714.0,6.68,693.5,6.52,75.54,46.678,24.535,pastizal
85cea44ffffffff,-44.307,-70.785,6.0,0,0.027687555,985.0,6.68,693.5,6.52,75.54,32.144,28.699,pastizal
85cea453fffffff,-44.604,-70.717,1.0,0,0.004703872,960.0,6.68,693.5,6.52,75.54,49.34,26.231,suelo_desnudo
85cea457fffffff,-44.545,-70.898,1.0,0,0.02720954,800.0,6.68,693.5,6.52,75.54,55.105,37.245,pastizal
85cea45bfffffff,-44.515,-70.571,17.0,0,0.006155153,622.0,6.68,693.5,6.52,75.54,51.717,11.461,pastizal
